Satzart;AGS;KREIS;BEV;CHRIST;RKAT;EVANG;SONST;KEINE;OANGABE;;PRKAT;PEVANG;;RKATEVANG
40;14628;Sächsische Schweiz-Osterzgebirge;243.930;62.910;6.830;49.180;2.290;92.660;86.070;;2,8;20,2;;23,0
20;147;Gesamt;952.280;214.960;36.560;146.360;19.080;349.560;368.690;;;;;
40;14713;Leipzig, Stadt;494.070;109.050;23.340;65.300;14.570;194.720;175.720;;4,7;13,2;;17,9
40;14729;Leipzig;259.110;62.110;7.370;47.870;2.420;84.170;110.410;;2,8;18,5;;21,3
40;14730;Nordsachsen;199.100;43.790;5.850;33.180;2.080;70.660;82.560;;2,9;16,7;;19,6
10;15;Gesamt;2.267.600;480.930;82.100;345.480;25.170;742.010;1.019.490;;;;;
40;15001;Dessau-Roßlau, Stadt;85.590;15.030;2.320;10.140;1.440;31.910;37.200;;2,7;11,8;;14,6
40;15002;Halle (Saale), Stadt;227.670;41.450;8.440;25.000;5.890;89.070;91.260;;3,7;11,0;;14,7
40;15003;Magdeburg, Landeshauptstadt;226.780;39.950;10.120;23.860;3.560;85.130;98.140;;4,5;10,5;;15,0
40;15081;Altmarkkreis Salzwedel;87.180;29.470;2.300;25.800;1.020;17.650;39.040;;2,6;29,6;;32,2
40;15082;Anhalt-Bitterfeld;170.670;34.300;7.770;22.560;1.730;51.340;83.300;;4,6;13,2;;17,8
40;15083;Börde;174.870;44.110;7.640;32.530;1.010;49.750;80.000;;4,4;18,6;;23,0
40;15084;Burgenlandkreis;188.120;40.670;5.750;30.820;1.310;66.910;79.230;;3,1;16,4;;19,4
40;15085;Harz;223.870;51.340;8.680;37.630;1.730;74.520;96.280;;3,9;16,8;;20,7
40;15086;Jerichower Land;92.820;20.460;2.560;15.670;900;31.910;39.540;;2,8;16,9;;19,6
40;15087;Mansfeld-Südharz;146.820;28.560;5.800;19.990;1.310;55.830;61.120;;4,0;13,6;;17,6
40;15088;Saalekreis;190.220;34.670;5.710;24.970;1.700;60.640;93.210;;3,0;13,1;;16,1
40;15089;Salzlandkreis;203.400;35.700;6.850;24.860;1.320;70.850;95.530;;3,4;12,2;;15,6
40;15090;Stendal;117.530;32.010;3.220;26.330;1.200;28.550;55.770;;2,7;22,4;;25,1
40;15091;Wittenberg;132.050;33.190;4.940;25.330;1.040;27.950;69.860;;3,7;19,2;;22,9
10;16;Gesamt;2.173.030;762.280;173.640;528.830;23.790;665.410;721.560;;;;;
40;16051;Erfurt, Stadt;199.750;50.770;13.880;29.400;4.790;69.960;74.240;;6,9;14,7;;21,7
40;16052;Gera, Stadt;94.880;15.320;2.500;9.370;1.370;45.400;32.780;;2,6;9,9;;12,5
40;16053;Jena, Stadt;105.370;28.470;7.110;17.080;1.460;37.810;37.640;;6,7;16,2;;23,0
40;16054;Suhl, Stadt;36.810;6.680;930;4.850;450;14.540;15.140;;2,5;13,2;;15,7
40;16055;Weimar, Stadt;62.430;19.600;4.180;13.050;1.790;20.170;20.860;;6,7;20,9;;27,6
40;16056;Eisenach, Stadt;41.250;12.230;1.770;9.400;690;12.150;16.180;;4,3;22,8;;27,1
40;16061;Eichsfeld;101.530;83.080;71.100;10.910;640;7.220;10.600;;70,0;10,7;;80,8
40;16062;Nordhausen;86.580;27.710;3.830;21.040;780;29.980;28.110;;4,4;24,3;;28,7
40;16063;Wartburgkreis;127.990;61.480;11.870;47.420;540;30.140;35.830;;9,3;37,0;;46,3
40;16064;Unstrut-Hainich-Kreis;105.200;49.230;17.200;29.430;590;29.140;26.240;;16,3;28,0;;44,3
40;16065;Kyffhäuserkreis;79.540;23.640;2.800;19.340;440;30.900;24.570;;3,5;24,3;;27,8
40;16066;Schmalkalden-Meiningen;126.520;58.130;4.210;51.060;1.450;26.540;40.390;;3,3;40,4;;43,7
40;16067;Gotha;135.010;46.350;5.310;36.040;1.270;40.590;46.800;;3,9;26,7;;30,6
40;16068;Sömmerda;71.420;22.620;2.870;18.470;/;25.620;22.870;;4,0;25,9;;29,9
40;16069;Hildburghausen;65.690;28.720;1.310;25.830;430;14.570;21.980;;2,0;39,3;;41,3
40;16070;Ilm-Kreis;109.850;33.420;4.390;26.060;1.370;33.470;41.590;;4,0;23,7;;27,7
40;16071;Weimarer Land;82.090;25.000;2.290;19.780;640;31.710;24.740;;2,8;24,1;;26,9
40;16072;Sonneberg;58.610;21.530;1.490;18.300;/;18.130;18.660;;2,5;31,2;;33,8
40;16073;Saalfeld-Rudolstadt;112.390;37.230;3.640;31.260;790;34.070;40.310;;3,2;27,8;;31,1
40;16074;Saale-Holzland-Kreis;84.320;24.310;2.320;19.390;960;26.230;32.820;;2,8;23,0;;25,7
40;16075;Saale-Orla-Kreis;84.930;34.400;2.560;29.910;900;19.670;29.960;;3,0;35,2;;38,2
40;16076;Greiz;104.510;32.580;3.680;26.570;1.240;30.860;39.830;;3,5;25,4;;28,9
40;16077;Altenburger Land;96.340;19.780;2.400;14.840;590;36.550;39.420;;2,5;15,4;;17,9
